title,genre,synopsis
Snow White and the Seven Dwarfs,"Animation, Adventure, Family","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
Rock of Ages,"Comedy, Drama, Musical",A small-town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.
Pocahontas,"Animation, Adventure, Drama",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
My Little Pony: A New Generation,"Animation, Adventure, Comedy","After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria."
The Hunchback of Notre Dame,"Animation, Drama, Family","A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer."
Wicked,"Action, Adventure, Family",The story of how a green-skinned woman framed by the Wizard of Oz becomes the Wicked Witch of the West; feature film based on the Broadway musical.
The AristoCats,"Animation, Adventure, Comedy","With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country."
The Nightmare Before Christmas,"Animation, Family, Fantasy","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
Oliver!,"Drama, Family, Musical","After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London."
Robin Hood,"Animation, Adventure, Comedy",The story of the legendary British outlaw is portrayed with the characters as humanoid animals.
Downfalls High,"Drama, Musical, Romance","When reserved and lonely teenager Fenix (Chase Hudson) meets popular high school girl Scarlett (Sydney Sweeney), the two form a bond that shapes the rest of his life. A musical drama featuring the music of Machine Gun Kelly."
Isn't It Romantic,"Comedy, Fantasy, Musical",A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.
Matilda,"Comedy, Drama, Family","An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results."
Raging Bull,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Blue Mountain State: The Rise of Thadland,"Comedy, Sport","When the Dean of Blue Mountain State threatens to sell the Goat House, Alex throws Thad the party of his dreams in an effort to get him to buy it."
Talladega Nights: The Ballad of Ricky Bobby,"Comedy, Sport","Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
Back to School,"Comedy, Romance, Sport","To help his discouraged son get through college, a funloving and obnoxious rich businessman decides to enter the school as a student himself."
The Game Plan,"Comedy, Family, Sport",An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.
Cars 2,"Animation, Adventure, Comedy",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
Kingpin,"Comedy, Sport","A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches."
The Cannonball Run,"Action, Comedy, Sport","A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks."
Creed,"Action, Drama, Sport","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
Here Comes the Boom,"Action, Comedy, Sport",A high-school biology teacher looks to become a successful mixed martial arts fighter in an effort to raise money to prevent extracurricular activities from being axed at his cash-strapped school.
Real Steel,"Action, Drama, Sci-Fi","In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot."
Coach Carter,"Biography, Drama, Sport",Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.
Dangal,"Action, Biography, Drama",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
The Way Back,"Drama, Sport","Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption."
Rudy,"Biography, Drama, Sport",Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.
42,"Biography, Drama, Sport","In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process."
Stick It,"Comedy, Drama, Sport","After a run-in with the law, Haley Graham (Missy Peregrym) is forced to return to the world from which she fled some years ago. Enrolled in an elite gymnastics program run by the legendary Burt Vickerman (Jeff Bridges), Haley's rebellious attitude gives way to something that just might be called team spirit."
Cars 3,"Animation, Adventure, Comedy",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
Foxcatcher,"Biography, Drama, History","U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-destructive behavior threatens to consume them all."
Varsity Blues,"Comedy, Drama, Romance",A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.
Bruised,"Drama, Sport",A disgraced MMA fighter finds redemption in the cage and the courage to face her demons when the son she had given up as an infant unexpectedly reenters her life.
17 Again,"Comedy, Drama, Fantasy",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
Love & Basketball,"Drama, Romance, Sport",Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.
Over the Top,"Action, Drama, Sport",Tough trucker Lincoln Hawk is determined to win back his son and triumph at the world arm wrestling championships.
Major League,"Comedy, Sport","The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her."
Bloodsport,"Action, Biography, Drama","""Bloodsport"" follows Frank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur."
The Wrestler,"Drama, Sport","A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
The Hurricane,"Biography, Drama, Sport","The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence."
Slap Shot,"Comedy, Drama, Sport",A failing ice hockey team finds success with outrageously violent hockey goonery.
The Karate Kid Part II,"Action, Family, Sport","Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own."
White Men Can't Jump,"Comedy, Drama, Sport",Black and white basketball hustlers join forces to double their chances of winning money on the street courts and in a basketball tournament.
Creed II,"Drama, Sport","Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago."
The Bronze,"Comedy, Drama, Sport",A foul-mouthed former gymnastics bronze medalist with local celebrity status reluctantly trains a rising Olympics aspirant.
Caddyshack II,"Comedy, Sport","When a crass new-money tycoon's membership application is turned down at a snooty country club, he retaliates by buying the club and turning it into a tacky amusement park."
Point Break,"Action, Adventure, Crime","A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists."
Hooligans,"Crime, Drama, Sport","A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism."
Friday Night Lights,"Action, Drama, Sport","Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers."
Ali,"Biography, Drama, Sport","A biography of sports legend Muhammad Ali, focusing on his triumphs and controversies between 1964 and 1974."
Bend It Like Beckham,"Comedy, Drama, Romance","Two ambitious girls, despite their parents' wishes, have their hearts set on careers in professional soccer."
Field of Dreams,"Drama, Family, Fantasy","Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true."
Like Mike,"Comedy, Family, Fantasy","A 13-year-old orphan becomes an NBA superstar after trying on a pair of sneakers with the faded initials ""M.J."" inside."
Rocky IV,"Drama, Sport","Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union."
The Express,"Biography, Drama, Sport","A drama based on the life of college football hero Ernie Davis, the first African-American to win the Heisman Trophy."
D2: The Mighty Ducks,"Comedy, Drama, Family",Can Gordon's team win the Junior Goodwill Games in California in spite of all the set-backs?
Hard Ball,"Comedy, Drama, Sport","An aimless young man who is scalping tickets, gambling, and drinking, agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend."
Nacho Libre,"Comedy, Family, Sport","Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler)."
The Phantom of the Open,"Comedy, Drama, Sport","Maurice Flitcroft, a dreamer and unrelenting optimist, managed to gain entry to The British Open Golf Championship Qualifying in 1976 and subsequently shot the worst round in Open history, becoming a folk hero in the process."
Battle of the Sexes,"Biography, Comedy, Drama",The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.
True History of the Kelly Gang,"Biography, Crime, Drama",Australian bushranger Ned Kelly and his gang flee from authorities during the 1870s.
The Ridiculous 6,"Action, Adventure, Comedy","An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad."
High Noon,"Drama, Thriller, Western","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train."
Open Range,"Action, Drama, Romance",A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.
El Dorado,"Drama, Romance, Western","Cole Thornton, a gunfighter for hire, joins forces with an old friend, Sheriff J.P. Hara. Together with an old Indian fighter and a gambler, they help a rancher and his family fight a rival rancher that is trying to steal their water."
Pale Rider,"Drama, Western",A mysterious preacher (Clint Eastwood) protects a humble prospector village from a greedy mining company trying to encroach on their land.
Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
Young Guns,"Action, Western","A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted."
The Quick and the Dead,"Action, Romance, Thriller","A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death."
Rio Bravo,Western,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
Young Guns 3: Alias Billy the Kid,Western,Plot kept under wraps. Third installment of the 'Young Guns' film franchise.
Per qualche dollaro in più,Western,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
Les frères Sisters,"Crime, Drama, Western","Eli and Charlie Sisters, an infamous duo of gunslinging assassins, chase a gold prospector and his unexpected ally in 1850s Oregon."
The Lone Ranger,"Action, Adventure, Western","Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice."
McLintock!,Western,"Wealthy rancher G.W. McLintock uses his power and influence in the territory to keep the peace between farmers, ranchers, land-grabbers, Indians and corrupt government officials."
The Last Son,"Action, Drama, Western",An outlaw attempts to end his evil family line.
Maverick,"Action, Adventure, Comedy","Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief."
The Outlaw Josey Wales,Western,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.
The Devil's Rejects,"Crime, Horror, Western","The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target."
Giant,"Drama, Western",Sprawling epic covering the life of a Texas cattle rancher and his family and associates.
Three Amigos!,"Comedy, Western","Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing."
Django/Zorro,"Adventure, Drama, Western","Several years after the events of Django Unchained (2012), Django meets Don Diego de la Vega, the famed Zorro, and agrees to become his bodyguard on a mission to free the local aboriginal population from slavery."
The Wild Bunch,"Action, Adventure, Western","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
Stagecoach,"Adventure, Drama, Western",A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.
The Hero,"Drama, Romance, Western",An ailing movie star comes to terms with his past and mortality.
Of Mice and Men,"Drama, Western","A nomadic farm worker looks after his dimwitted, gentle-giant friend during the Great Depression."
Jonah Hex,"Action, Drama, Fantasy","The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth."
Cowboys & Aliens,"Action, Sci-Fi, Thriller","A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way."
Hang 'Em High,"Drama, Western","When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice."
Far and Away,"Adventure, Drama, Romance","A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely."
Django,"Action, Western",A coffin-dragging gunslinger and a half-breed prostitute become embroiled in a bitter feud between a Klan of Southern racists and a band of Mexican Revolutionaries.
Shane,"Drama, Western","A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act."
The Legend of Zorro,"Action, Adventure, Romance","Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action."
The Horse Whisperer,"Drama, Romance, Western",The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.
Montford: The Chickasaw Rancher,"Biography, Drama, History","A remarkable story inspired by the life of renowned Chickasaw cattleman Montford T. Johnson, a man who overcame great hardships to establish a ranching empire along the famous cattle highway of the American West, the Chisolm Trail."
The Man Who Shot Liberty Valance,"Drama, Western",A senator returns to a western town for the funeral of an old friend and tells the story of his origins.
The Ballad of Lefty Brown,"Action, Drama, Western","A thrilling and action-packed Western, The Ballad of Lefty Brown is a story about loyalty, friendship, and the relentless pursuit of justice."
Hannie Caulder,"Crime, Drama, Western","After she is raped and her husband murdered, a woman hires a bounty hunter to instruct her in the use of a gun so she can get her revenge on the three outlaws responsible."
The Misfits,"Drama, Romance, Western",A divorcée falls for an over-the-hill cowboy who is struggling to maintain his romantically independent lifestyle.
Spirit Untamed,"Animation, Adventure, Comedy",Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.
First Cow,"Drama, Western","A skilled cook has traveled west and joined a group of fur trappers in Oregon, though he only finds true connection with a Chinese immigrant also seeking his fortune. Soon the two collaborate on a successful business."
Around the World in 80 Days,"Action, Adventure, Comedy","To win a bet, an eccentric British inventor, beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days."
Ghosts of the Ozarks,"Horror, Mystery, Thriller","In post-Civil War Arkansas, a young doctor is mysteriously summoned to a remote town in the Ozarks only to discover that the utopian paradise is filled with secrets and surrounded by a menacing, supernatural presence."
Spirit: Stallion of the Cimarron,"Animation, Adventure, Drama","A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd."
Jeremiah Johnson,"Adventure, Drama, Western",A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by the Crow tribe and proves to be a match for their warriors in single combat on the early frontier.
A Tale of Two Guns,Western,"In the lawless West, The Cowboys a notorious brotherhood of killers and thieves reigned over the land with brutal fists and fast guns. Fate had finally caught up with them - and now the ...                See full summary »"
Young Guns II,"Action, Western","In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid."
Urban Cowboy,"Drama, Romance, Western",Bud is a young man from the country who learns about life and love in a Houston bar.
Dead Man,"Adventure, Drama, Fantasy","On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world."
The Texas Chainsaw Massacre: The Beginning,"Horror, Thriller","Before being sent to serve in Vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding killer."
Don't Worry Darling,"Crime, Drama, Horror",A 1950's housewife living with her husband in a utopian experimental community begins to worry that his glamorous company may be hiding disturbing secrets.
Countdown,"Horror, Thriller","When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time runs out."
Scream 2,"Horror, Mystery","Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings."
A Banquet,Horror,A widowed mother is radically tested when her teenage daughter insists a supernatural experience has left her body in service to a higher power.
The Exorcist,Horror,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
The Deep House,"Drama, Horror, Mystery",A young and modern couple who go to France to explore an underwater house and share their findings on social media undergoes a serious change of plans when the couple enters the interior of...                See full summary »
The VVitch: A New-England Folktale,"Drama, Horror, Mystery","A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession."
Srpski film,"Horror, Mystery, Thriller","An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film."
The Coven,Horror,A devoted couple's quiet weekend takes a bizarre turn when a nightmarish cult and their maniacal leader come to fulfill an apocalyptic prophesy.
Predator,"Action, Adventure, Horror",A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
Candyman,"Horror, Thriller",A sequel to the horror film Candyman (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.
Scream 3,"Horror, Mystery","While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them."
Near Dark,Horror,A small-town farmer's son reluctantly joins a traveling group of vampires after he is bitten by a beautiful drifter.
The Return of the Texas Chainsaw Massacre,"Comedy, Horror, Thriller","A group of teenagers get into a car crash in the Texas woods on prom night, and then wander into an old farmhouse that is home to Leatherface (Robert Jacks) and his insane family of cannibalistic psychopaths."
Ready or Not,"Action, Comedy, Horror",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.
Leatherface,"Crime, Horror, Thriller","A teenage Leatherface escapes from a mental hospital with three other inmates, kidnapping a young nurse and taking her on a road trip from hell, while being pursued by a lawman out for revenge."
Dracula,"Drama, Fantasy, Horror",The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.
They Live in the Grey,"Horror, Thriller","Claire, while investigating a child abuse case, discovers that the family is being tormented by a supernatural entity."
Salò o le 120 giornate di Sodoma,"Drama, Horror","In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to 120 days of physical, mental, and sexual torture."
The Lost Boys,"Comedy, Horror","After moving to a new town, two brothers discover that the area is a haven for vampires."
Doctor Sleep,"Drama, Fantasy, Horror","Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal."
Constantine,"Action, Fantasy, Horror","Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more."
Valentine,"Horror, Mystery, Thriller",Five women are stalked by an unknown assailant while preparing for Valentine's Day.
De uskyldige,"Drama, Horror, Mystery","During the bright Nordic summer, a group of children reveal their dark and mysterious powers when the adults aren't looking. In this original and gripping supernatural thriller, playtime takes a dangerous turn."
Crimson Peak,"Drama, Horror, Mystery","In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers."
The Meg,"Action, Horror, Sci-Fi",A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.
Escape Room,"Action, Adventure, Horror",Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.
Freaky,"Comedy, Horror, Thriller","After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent."
Anaconda,"Action, Adventure, Horror","A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake."
The Killing of a Sacred Deer,"Drama, Horror, Mystery","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister."
My Bloody Valentine,"Horror, Mystery, Thriller",A decades-old folk tale surrounding a deranged murderer killing those who celebrate Valentine's Day turns out to be true to legend when a group defies the killer's order and people start turning up dead.
The Conjuring,"Horror, Mystery, Thriller",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
Psycho,"Horror, Mystery, Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
Alien: Covenant,"Horror, Sci-Fi, Thriller","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
Jeepers Creepers: Reborn,"Horror, Mystery, Thriller","Forced to travel with her boyfriend, Laine, she begins to experience premonitions associated with the urban myth of The Creeper. Laine believes that something supernatural has been summoned - and that she is at the center of it all."
The Forever Purge,"Action, Horror, Thriller",All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end.
World War Z,"Action, Adventure, Horror",Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.
Split,"Horror, Thriller",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
From Dusk Till Dawn,"Action, Crime, Horror","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
Mother!,"Drama, Horror, Mystery","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
Wrong Turn,"Horror, Thriller","Friends hiking the Appalachian Trail are confronted by 'The Foundation', a community of people who have lived in the mountains for hundreds of years."
Salem's Lot,Horror,A writer travels to a town where the people become vampires.
La tua presenza nuda!,"Crime, Drama, Horror","A wealthy author's second wife begins to suspect that her 12 year old stepson may have murdered his mother, who mysteriously died in a bathtub accident."
Event Horizon,"Horror, Sci-Fi, Thriller",A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.
The Thing,"Horror, Mystery, Sci-Fi",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Men,"Drama, Horror, Sci-Fi",A young woman goes on a solo vacation to the English countryside after the death of her ex-husband.
28 Days Later...,"Drama, Horror, Sci-Fi","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
Cry-Baby,"Comedy, Musical","In 1950s Baltimore, a bad boy with a heart of gold wins the love of a good girl, whose boyfriend sets out for revenge."
A Goofy Movie,"Animation, Adventure, Comedy","When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy."
The Color Purple,"Drama, Musical",Musical adaptation of Alice Walker's novel about the life-long struggles of an African American woman living in the south during the early 1900s.
Jeff Wayne's Musical Version of the War of the Worlds Alive on Stage! The New Generation,"Musical, Sci-Fi","Stage musical adaptation of H.G. Wells' alien invasion novel, recorded live at London's O2 arena in 2012. The reimagined story, which was first released in 1978 as a concept album by Jeff ...                See full summary »"
Slumberland,"Adventure, Comedy, Family","A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again."
The Lorax,"Animation, Adventure, Comedy","A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
The Bob's Burgers Movie,"Animation, Adventure, Comedy",The Belchers' trying to save the restaurant from closing as a sinkhole forms in front of it while the kids try to solve a mystery that could save their family's restaurant.
Corpse Bride,"Animation, Drama, Family","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her."
Peter Pan,"Animation, Adventure, Family","Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan."
Peter Pan & Wendy,"Action, Adventure, Comedy",Live-action adaptation of J.M. Barrie's classic tale of a boy who wouldn't grow up and recruits three young siblings in London to join him on a magical adventure to the enchanted Neverland island.
Sleeping Beauty,"Animation, Adventure, Family","After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies."
Rio 2,"Animation, Adventure, Comedy","It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law."
Alice in Wonderland,"Animation, Adventure, Comedy",Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.
Brother Bear,"Animation, Adventure, Comedy","When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back."
The King and I,"Biography, Drama, Musical",A widow accepts a job as a live-in governess to the King of Siam's children.
The Road to El Dorado,"Animation, Adventure, Comedy","Two swindlers get their hands on a map to the fabled city of gold, El Dorado."
Horton Hears a Who!,"Animation, Adventure, Comedy",Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.
A Fairy Tale After All,"Adventure, Family, Fantasy",A stubborn teenage girl finds herself confronted by whimsical characters when she is transported into a world of fantasy and fairy tales while attending a school marionette show.
Gnomeo & Juliet,"Animation, Adventure, Comedy","Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?"
Dreamgirls,"Drama, Music, Musical","A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way."
Fiddler on the Roof,"Drama, Family, Musical","In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
Yankee Doodle Dandy,"Biography, Drama, Family","The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan."
Popstar: Never Stop Never Stopping,"Comedy, Drama, Musical","When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status."
Blue Story,"Crime, Drama, Musical",A gang war dooms the lifelong bond of south London friends in this acclaimed crime drama that features its writer-director as a rapping Greek chorus.
James and the Giant Peach,"Animation, Adventure, Family","An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City."
Dancer in the Dark,"Crime, Drama, Musical",An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
Music,"Drama, Musical","Zu is newly sober when she receives news that she is to become the sole guardian of her half-sister named Music, a young girl on the autism spectrum. The film explores two of Sia's favorite themes: finding your voice and creating family."
Popeye,"Adventure, Comedy, Family",The adventures of the famous sailor man and his friends in the seaside town of Sweethaven.
Alvin and the Chipmunks: The Squeakquel,"Animation, Adventure, Comedy","The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes."
"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy","When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
Hedwig and the Angry Inch,"Comedy, Drama, Music",A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
